signal,threshold,pct_escalated,accuracy,false_escalation_rate,dangerous_non_escalation_rate
mean_logprob,-0.08004581854743222,5.0,0.736,0.02997275204359673,0.94
mean_logprob,-0.06683583184273492,10.0,0.75,0.05449591280653951,0.8
mean_logprob,-0.05879783675080352,15.0,0.752,0.08991825613079019,0.74
mean_logprob,-0.05327120449205092,20.0,0.764,0.1226158038147139,0.62
mean_logprob,-0.04814594124059454,25.0,0.772,0.1553133514986376,0.54
mean_logprob,-0.04447084299094738,30.0,0.774,0.20435967302452315,0.48
mean_logprob,-0.0416204869017058,35.0,0.774,0.25340599455040874,0.46
mean_logprob,-0.038834254594744246,40.0,0.772,0.30517711171662126,0.42
mean_logprob,-0.03637575759970955,45.0,0.786,0.3405994550408719,0.28
mean_logprob,-0.03458215093114454,50.0,0.784,0.4032697547683924,0.26
mean_logprob,-0.03294103364613053,55.0,0.784,0.45776566757493187,0.24
mean_logprob,-0.031218688858730775,60.0,0.782,0.5231607629427792,0.22
mean_logprob,-0.029801631993203563,65.0,0.78,0.5831062670299727,0.2
mean_logprob,-0.028005042214796248,70.0,0.782,0.6485013623978202,0.18
mean_logprob,-0.02667735228469992,75.0,0.782,0.7111716621253406,0.18
mean_logprob,-0.02499635378261232,80.0,0.784,0.776566757493188,0.16
mean_logprob,-0.02215650781516473,85.0,0.784,0.8310626702997275,0.14
mean_logprob,-0.019912422986012014,90.0,0.784,0.8910081743869209,0.12
mean_logprob,-0.017136541260553806,95.0,0.786,0.9455040871934605,0.08
min_logprob,-1.6083224654197692,5.0,0.738,0.03814713896457766,0.94
min_logprob,-1.4183959007263183,10.0,0.744,0.05994550408719346,0.86
min_logprob,-1.3087694644927979,15.0,0.756,0.07901907356948229,0.72
min_logprob,-1.2204677820205687,20.0,0.764,0.10354223433242507,0.6
min_logprob,-1.1593889594078064,25.0,0.768,0.14986376021798364,0.56
min_logprob,-1.1148937106132508,30.0,0.77,0.1907356948228883,0.48
min_logprob,-1.0584737956523895,35.0,0.78,0.22888283378746593,0.36
min_logprob,-1.018992757797241,40.0,0.78,0.2888283378746594,0.36
min_logprob,-0.984285894036293,45.0,0.788,0.33242506811989103,0.28
min_logprob,-0.9573530554771423,50.0,0.784,0.3869209809264305,0.26
min_logprob,-0.9309479981660843,55.0,0.786,0.444141689373297,0.24
min_logprob,-0.9085036277770996,60.0,0.79,0.5013623978201635,0.18
min_logprob,-0.855558505654335,65.0,0.788,0.5640326975476839,0.16
min_logprob,-0.8335308790206912,70.0,0.786,0.6294277929155313,0.14
min_logprob,-0.8047770857810974,75.0,0.784,0.6866485013623979,0.12
min_logprob,-0.7614054560661316,80.0,0.784,0.7438692098092643,0.1
min_logprob,-0.7271928131580353,85.0,0.788,0.8038147138964578,0.04
min_logprob,-0.6932023048400879,90.0,0.788,0.8692098092643051,0.04
min_logprob,-0.6700232625007629,95.0,0.786,0.9373297002724795,0.04
format_validity,1,7.8,0.752,0.0,0.82
